Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2000,24.3N,94.9W,,,,,,35000000000.0,0.12
1999,26.5S,11.3W,,,,,,67000000000.0,0.21
1999,,,,,,,,273000000000.0,0.74
1999,,,,,,,,28000000000.0,0.098
1999,,,,,,,,42000000000.0,0.14
1999,,,,,,,,23000000000.0,0.082
1999,,,,,,,,45000000000.0,0.15
1999,8.1S,75.4E,,,,,,74000000000.0,0.23
1999,2.3S,77.4W,,,,,,89000000000.0,0.27
1999,13.7N,70.8W,,,,,,86000000000.0,0.27
1999,22.4N,0.2E,,,,,,28000000000.0,0.098
1999,32.5N,104.6E,32.0,,,,,90000000000.0,0.28
1999,35.0N,107.2W,,,,,,36000000000.0,0.12
1999,,,,,,,,68000000000.0,0.22
1999,64.7S,18.8W,,,,,,356000000000.0,0.93
1999,37.8S,39.6E,52.0,,,,,326000000000.0,0.86
1999,39.5S,174.4E,,,,,,140000000000.0,0.41
1999,50.0N,121.0E,69.0,,,,,124000000000.0,0.37
1999,16.4S,116.3W,,,,,,26000000000.0,0.092
1999,22.5S,6.5E,,,,,,92000000000.0,0.28
1999,32.8S,159.1E,,,,,,33000000000.0,0.11
1999,17.9S,22.6E,,,,,,234000000000.0,0.64
1999,0.8N,97.6E,,,,,,304000000000.0,0.81
1999,18.9N,50.5E,,,,,,59000000000.0,0.19
1999,54.9S,64.6W,,,,,,154000000000.0,0.44
1999,80.0N,154.2E,,,,,,28000000000.0,0.098
1999,7.9N,85.8E,,,,,,24000000000.0,0.086
1999,44.0S,129.7W,32.0,,,,,5060000000000.0,9.8
1999,,,,,,,,43000000000.0,0.14
1999,,,,,,,,24000000000.0,0.086
1999,47.0N,103.0E,65.0,,,,,35000000000.0,0.12
1998,,,,,,,,27000000000.0,0.095
1998,82.3N,160.1E,,,,,,25000000000.0,0.089
1998,6.5N,156.4E,,,,,,656000000000.0,1.6
1998,,,,,,,,32000000000.0,0.11
1998,,,,,,,,128000000000.0,0.38
1998,34.6N,23.6E,,,,,,24000000000.0,0.086
1998,,,,,,,,41000000000.0,0.14
1998,,,,,,,,23000000000.0,0.082
1998,,,,,,,,63000000000.0,0.2
1998,,,,,,,,27000000000.0,0.095
1998,1.4N,26.6E,,,,,,140000000000.0,0.41
1998,,,,,,,,62000000000.0,0.2
1998,35.1S,33.4E,30.0,17.1,6.0,-10.6,12.0,74000000000.0,0.23
1997,23.1S,152.4E,,,,,,31000000000.0,0.11
1997,62.7N,49.9W,,,,,,270000000000.0,0.73
1997,57.3S,167.2E,,,,,,800000000000.0,1.9
1997,31.8N,106.0W,37.0,,,,,190000000000.0,0.53
1997,46.7N,108.9E,,,,,,62000000000.0,0.2
1997,38.1S,63.9E,,,,,,23000000000.0,0.082
1997,31.1S,56.4E,,,,,,190000000000.0,0.53
1997,,,,,,,,26000000000.0,0.092
1997,,,,,,,,22000000000.0,0.079
1997,,,,,,,,50000000000.0,0.16
1997,15.8S,175.8W,,,,,,27000000000.0,0.095
1997,,,,,,,,45000000000.0,0.15
1997,16.7N,87.5E,,,,,,325000000000.0,0.86
1997,16.3S,87.7W,,,,,,140000000000.0,0.41
1997,35.5N,115.6E,,,,,,150000000000.0,0.43
1997,,,,,,,,26000000000.0,0.092
1997,,,,,,,,24000000000.0,0.086
1997,15.0S,94.2E,,,,,,270000000000.0,0.73
1997,32.2N,29.0E,,,,,,480000000000.0,1.2
1997,25.7N,5.3W,,,,,,43000000000.0,0.14
1997,,,,,,,,350000000000.0,0.92
1996,34.1N,37.2W,,,,,,41000000000.0,0.14
1996,,,,,,,,250000000000.0,0.68
1996,,,,,,,,49000000000.0,0.16
1996,,,,,,,,62000000000.0,0.2
1996,,,,,,,,68000000000.0,0.22
1996,,,,,,,,61000000000.0,0.2
1996,2.1S,123.1W,,,,,,21000000000.0,0.076
1996,27.4N,79.4W,,,,,,43000000000.0,0.14
1996,47.3S,20.6E,,,,,,44000000000.0,0.15
1996,29.7N,34.7W,,,,,,130000000000.0,0.38
1996,,,,,,,,45000000000.0,0.15
1996,49.6S,145.9E,,,,,,250000000000.0,0.68
1996,,,,,,,,34000000000.0,0.12
1996,,,,,,,,84000000000.0,0.26
1996,,,,,,,,30000000000.0,0.1
1996,,,,,,,,150000000000.0,0.43
1996,,,,,,,,130000000000.0,0.38
1996,,,,,,,,220000000000.0,0.61
1996,,,,,,,,80000000000.0,0.25
1996,31.8N,111.4E,,,,,,50000000000.0,0.16
1996,20.7N,93.6W,,,,,,32000000000.0,0.11
1996,,,,,,,,21000000000.0,0.076
1996,,,,,,,,28000000000.0,0.098
1996,,,,,,,,35000000000.0,0.12
1996,,,,,,,,27000000000.0,0.095
1996,31.1S,84.3W,,,,,,120000000000.0,0.36
1996,21.5N,158.1W,,,,,,128000000000.0,0.38
1996,,,,,,,,44000000000.0,0.15
1996,,,,,,,,230000000000.0,0.63
1996,,,,,,,,55000000000.0,0.18
1996,76.0N,127.0W,,,,,,50000000000.0,0.16
1996,,,,,,,,120000000000.0,0.36
1996,59.8S,175.8E,,,,,,260000000000.0,0.71
1995,,,,,,,,22000000000.0,0.079
1995,70.2S,73.3W,,,,,,450000000000.0,1.1
1995,2.9S,79.0W,,,,,,120000000000.0,0.36
1995,,,,,,,,29000000000.0,0.1
1995,,,,,,,,21000000000.0,0.076
1995,,,,,,,,35000000000.0,0.12
1995,,,,,,,,500000000000.0,1.3
1995,,,,,,,,120000000000.0,0.36
1995,,,,,,,,160000000000.0,0.46
1995,,,,,,,,55000000000.0,0.18
1995,11.6N,104.3W,,,,,,200000000000.0,0.56
1995,28.5S,93.3E,,,,,,130000000000.0,0.38
1995,0.9S,66.3E,,,,,,25000000000.0,0.089
1995,40.2N,76.1W,,,,,,140000000000.0,0.41
1995,,,,,,,,25000000000.0,0.089
1995,,,,,,,,25000000000.0,0.089
1995,16.7N,141.7W,,,,,,60000000000.0,0.19
1995,51.5N,115.4E,,,,,,70000000000.0,0.22
1995,,,,,,,,25000000000.0,0.089
1995,46.4N,12.1E,,,,,,41000000000.0,0.14
1995,,,,,,,,30000000000.0,0.1
1994,,,,,,,,50000000000.0,0.16
1994,42.2S,27.6E,,,,,,50000000000.0,0.16
1994,6.5N,89.0E,,,,,,2350000000000.0,5.0
1994,1.5S,84.5W,,,,,,1000000000000.0,2.3
1994,,,,,,,,320000000000.0,0.85
1994,45.2S,1.9W,,,,,,87000000000.0,0.27
1994,,,,,,,,66000000000.0,0.21
1994,,,,,,,,67000000000.0,0.21
1994,,,,,,,,164000000000.0,0.47
1994,45.0N,73.5W,,,,,,41000000000.0,0.14
1994,,,,,,,,509000000000.0,1.3
1994,52.8N,2.3E,,,,,,384000000000.0,1.0
1994,2.7N,164.1E,,,,,,18200000000000.0,30.0
1993,26.5N,78.3E,,,,,,26000000000.0,0.092
1993,51.3N,100.9W,,,,,,40000000000.0,0.13
1991,78.7N,6.3E,,,,,,550000000000.0,1.4
1990,7.5N,142.8E,,,,,,2500000000000.0,5.2
1988,4.1S,124.3E,,,,,,7580000000000.0,14.0
